Vg=6.0V_x,Vg=6.0V_y,Vg=5.0V_x,Vg=5.0V_y,Vg=4.0V_x,Vg=4.0V_y,Vg=3.0V_x,Vg=3.0V_y,Vg=2.0V_x,Vg=2.0V_y,Vg=1.0V_x,Vg=1.0V_y,Vg=0.0V_x,Vg=0.0V_y
0.,0.0005,0.,0.0005,0.,0.0005,0.,0.0005,0.,0.0005,0.,0.0005,0.,0.0005
0.25,0.0035,0.25,0.0035,0.25,0.0045,0.25,0.0115,0.25,0.0135,0.25,0.014,0.25,0.014
0.5,0.0055,0.5,0.0065,0.5,0.0085,0.5,0.021,0.5,0.026,0.5,0.028,0.5,0.029
0.75,0.0085,0.75,0.0095,0.75,0.0125,0.75,0.0295,0.75,0.039,0.75,0.042,0.75,0.043
1.,0.0105,1.,0.0125,1.,0.0155,1.,0.036,1.,0.05,1.,0.0555,1.,0.0575
1.25,0.012,1.25,0.014,1.25,0.019,1.25,0.041,1.25,0.0605,1.25,0.0685,1.25,0.0715
1.5,0.0135,1.5,0.017,1.5,0.022,1.5,0.0455,1.5,0.0695,1.5,0.0805,1.5,0.085
1.75,0.014,1.75,0.019,1.75,0.0255,1.75,0.0495,1.75,0.076,1.75,0.092,1.75,0.098
2.,0.015,2.,0.021,2.,0.028,2.,0.0535,2.,0.082,2.,0.102,2.,0.1105
2.25,0.016,2.25,0.023,2.25,0.031,2.25,0.0565,2.25,0.087,2.25,0.1105,2.25,0.1215
2.5,0.017,2.5,0.024,2.5,0.0335,2.5,0.0595,2.5,0.091,2.5,0.1175,2.5,0.1315
2.75,0.018,2.75,0.0255,2.75,0.036,2.75,0.0625,2.75,0.094,2.75,0.123,2.75,0.14
3.,0.018,3.,0.0265,3.,0.038,3.,0.0655,3.,0.0975,3.,0.1275,3.,0.1475
3.25,0.019,3.25,0.0275,3.25,0.039,3.25,0.0675,3.25,0.1,3.25,0.1315,3.25,0.154
3.5,0.019,3.5,0.028,3.5,0.041,3.5,0.07,3.5,0.103,3.5,0.1345,3.5,0.1595
3.75,0.019,3.75,0.029,3.75,0.042,3.75,0.0715,3.75,0.105,3.75,0.1375,3.75,0.1635
4.,0.02,4.,0.029,4.,0.043,4.,0.0735,4.,0.107,4.,0.139,4.,0.167
4.25,0.02,4.25,0.03,4.25,0.044,4.25,0.0745,4.25,0.1085,4.25,0.141,4.25,0.1695
4.5,0.02,4.5,0.03,4.5,0.0445,4.5,0.0755,4.5,0.1105,4.5,0.143,4.5,0.1715
4.75,0.0205,4.75,0.031,4.75,0.045,4.75,0.076,4.75,0.1115,4.75,0.145,4.75,0.1735
5.,0.021,5.,0.031,5.,0.0455,5.,0.077,5.,0.113,5.,0.1465,5.,0.1755
5.25,0.021,5.25,0.031,5.25,0.0455,5.25,0.078,5.25,0.114,5.25,0.148,5.25,0.1765
5.5,0.0215,5.5,0.032,5.5,0.0465,5.5,0.079,5.5,0.1145,5.5,0.149,5.5,0.1775
5.75,0.022,5.75,0.032,5.75,0.0465,5.75,0.079,5.75,0.1155,5.75,0.1495,5.75,0.1785
6.,0.022,6.,0.032,6.,0.0475,6.,0.08,6.,0.1165,6.,0.15,6.,0.1795
6.25,0.022,6.25,0.032,6.25,0.0475,6.25,0.08,6.25,0.1165,6.25,0.151,6.25,0.1805
6.5,0.022,6.5,0.033,6.5,0.0475,6.5,0.0805,6.5,0.1175,6.5,0.151,6.5,0.181
6.75,0.0225,6.75,0.033,6.75,0.0485,6.75,0.081,6.75,0.1175,6.75,0.152,6.75,0.1815
7.,0.023,7.,0.033,7.,0.0485,7.,0.0815,7.,0.1185,7.,0.152,7.,0.1815
7.25,0.023,7.25,0.033,7.25,0.0485,7.25,0.082,7.25,0.1185,7.25,0.152,7.25,0.1825
7.5,0.023,7.5,0.033,7.5,0.0485,7.5,0.082,7.5,0.1185,7.5,0.1525,7.5,0.1825
7.75,0.023,7.75,0.034,7.75,0.0495,7.75,0.082,7.75,0.1185,7.75,0.153,7.75,0.1825
8.,0.0235,8.,0.034,8.,0.0495,8.,0.0825,8.,0.1185,8.,0.153,8.,0.1825
8.25,0.024,8.25,0.034,8.25,0.05,8.25,0.083,8.25,0.119,8.25,0.153,8.25,0.182
8.5,0.024,8.5,0.034,8.5,0.0495,8.5,0.083,8.5,0.119,8.5,0.152,8.5,0.1815
8.75,0.024,8.75,0.034,8.75,0.05,8.75,0.083,8.75,0.119,8.75,0.152,8.75,0.1815
9.,0.0245,9.,0.034,9.,0.0505,9.,0.083,9.,0.119,9.,0.152,9.,0.1805
9.25,0.025,9.25,0.035,9.25,0.0505,9.25,0.083,9.25,0.1185,9.25,0.1515,9.25,0.1805
9.5,0.025,9.5,0.035,9.5,0.0505,9.5,0.083,9.5,0.1185,9.5,0.151,9.5,0.1795
9.75,0.0255,9.75,0.035,9.75,0.0505,9.75,0.083,9.75,0.1185,9.75,0.151,9.75,0.1795
10.,0.026,10.,0.035,10.,0.0505,10.,0.083,10.,0.118,10.,0.15,10.,0.1785
