Timestamp,Vgate (V),Vdrain (V),Current (A)
12:39:21,5.000,0.000,0.001500
12:39:21,5.000,1.000,0.001500
12:39:22,5.000,2.000,0.001500
12:39:22,5.000,3.000,0.001500
12:39:23,5.000,4.000,0.001500
12:39:23,5.000,5.000,0.001500
12:39:24,5.000,6.000,0.001500
12:39:24,5.000,7.000,0.001500
12:39:25,5.000,8.000,0.001500
12:39:25,5.000,9.000,0.001500
12:39:26,5.000,10.000,0.001500
12:39:26,5.000,11.000,0.001500
12:39:27,5.000,12.000,0.001500
12:39:27,5.000,13.000,0.001500
12:39:28,5.000,14.000,0.001500
12:39:28,5.000,15.000,0.001500
12:39:29,5.000,16.000,0.001500
12:39:29,5.000,17.000,0.001500
12:39:30,5.000,18.000,0.001500
12:39:30,5.000,19.000,0.001500
12:39:31,5.000,20.000,0.001500
12:39:32,4.000,0.000,0.001500
12:39:32,4.000,1.000,0.001500
12:39:33,4.000,2.000,0.001500
12:39:33,4.000,3.000,0.001500
12:39:34,4.000,4.000,0.001500
12:39:34,4.000,5.000,0.001500
12:39:35,4.000,6.000,0.001500
12:39:35,4.000,7.000,0.001500
12:39:36,4.000,8.000,0.001500
12:39:36,4.000,9.000,0.001500
12:39:37,4.000,10.000,0.001500
12:39:37,4.000,11.000,0.001500
12:39:38,4.000,12.000,0.001500
12:39:38,4.000,13.000,0.001500
12:39:39,4.000,14.000,0.001500
12:39:39,4.000,15.000,0.001500
12:39:40,4.000,16.000,0.001500
12:39:40,4.000,17.000,0.001500
12:39:41,4.000,18.000,0.001500
12:39:41,4.000,19.000,0.001500
12:39:42,4.000,20.000,0.001500
12:39:43,3.000,0.000,0.001500
12:39:44,3.000,1.000,0.001500
12:39:44,3.000,2.000,0.001500
12:39:45,3.000,3.000,0.001500
12:39:45,3.000,4.000,0.001500
12:39:46,3.000,5.000,0.001500
12:39:46,3.000,6.000,0.001500
12:39:47,3.000,7.000,0.001500
12:39:47,3.000,8.000,0.001500
12:39:48,3.000,9.000,0.001500
12:39:48,3.000,10.000,0.001500
12:39:49,3.000,11.000,0.001500
12:39:49,3.000,12.000,0.001500
12:39:50,3.000,13.000,0.001500
12:39:50,3.000,14.000,0.001500
12:39:51,3.000,15.000,0.001500
12:39:51,3.000,16.000,0.001500
12:39:52,3.000,17.000,0.001500
12:39:52,3.000,18.000,0.001500
12:39:53,3.000,19.000,0.001500
12:39:53,3.000,20.000,0.001500
12:39:54,2.000,0.000,0.001500
12:39:55,2.000,1.000,0.001500
12:39:55,2.000,2.000,0.001500
12:39:56,2.000,3.000,0.001500
12:39:56,2.000,4.000,0.001500
12:39:57,2.000,5.000,0.001500
12:39:57,2.000,6.000,0.001500
12:39:58,2.000,7.000,0.001500
12:39:58,2.000,8.000,0.001500
12:39:59,2.000,9.000,0.001500
12:39:59,2.000,10.000,0.001500
12:40:00,2.000,11.000,0.001500
12:40:00,2.000,12.000,0.001500
12:40:01,2.000,13.000,0.001500
12:40:01,2.000,14.000,0.001500
12:40:02,2.000,15.000,0.001500
12:40:02,2.000,16.000,0.001500
12:40:03,2.000,17.000,0.001500
12:40:03,2.000,18.000,0.001500
12:40:04,2.000,19.000,0.001500
12:40:04,2.000,20.000,0.001500
12:40:05,1.000,0.000,0.001500
12:40:06,1.000,1.000,0.001500
12:40:06,1.000,2.000,0.001500
12:40:07,1.000,3.000,0.001500
12:40:07,1.000,4.000,0.001500
12:40:08,1.000,5.000,0.001500
12:40:08,1.000,6.000,0.001500
12:40:09,1.000,7.000,0.001500
12:40:09,1.000,8.000,0.001500
12:40:10,1.000,9.000,0.001500
12:40:10,1.000,10.000,0.001500
12:40:11,1.000,11.000,0.001500
12:40:11,1.000,12.000,0.001500
12:40:12,1.000,13.000,0.001500
12:40:12,1.000,14.000,0.001500
12:40:13,1.000,15.000,0.001500
12:40:13,1.000,16.000,0.001500
12:40:14,1.000,17.000,0.001500
12:40:14,1.000,18.000,0.001500
12:40:15,1.000,19.000,0.001500
12:40:15,1.000,20.000,0.001500
12:40:16,0.000,0.000,0.001500
12:40:17,0.000,1.000,0.001500
12:40:17,0.000,2.000,0.001500
12:40:18,0.000,3.000,0.001500
12:40:18,0.000,4.000,0.001500
12:40:19,0.000,5.000,0.001500
12:40:19,0.000,6.000,0.001500
12:40:20,0.000,7.000,0.001500
12:40:20,0.000,8.000,0.001500
12:40:21,0.000,9.000,0.001500
12:40:21,0.000,10.000,0.001500
12:40:22,0.000,11.000,0.001500
12:40:22,0.000,12.000,0.001500
12:40:23,0.000,13.000,0.001500
12:40:23,0.000,14.000,0.001500
12:40:24,0.000,15.000,0.001500
12:40:24,0.000,16.000,0.001500
12:40:25,0.000,17.000,0.001500
12:40:25,0.000,18.000,0.001500
12:40:26,0.000,19.000,0.001500
12:40:26,0.000,20.000,0.001500
