Channel,Time (s),Voltage (V)
CH1,0.0014204978942871094,1.0
CH1,3.002234935760498,3.0
CH1,6.003023862838745,5.0
CH1,9.003929376602173,7.0
CH1,12.004737615585327,9.0
CH1,15.005577325820923,11.0
CH1,18.006469249725342,13.0
CH1,21.007512092590332,15.0
CH1,24.00867533683777,17.0
CH1,27.009790658950806,19.0
CH1,30.01087737083435,21.0
CH1,33.012158155441284,23.0
CH1,36.01328110694885,25.0
CH1,39.014331340789795,27.0
CH1,42.015403509140015,29.0
CH1,45.016509771347046,31.0
CH1,48.01739549636841,33.0
CH1,51.01813316345215,35.0
CH1,54.01919770240784,37.0
CH1,57.020326137542725,39.0
CH1,60.02117347717285,41.0
CH1,63.02212619781494,43.0
CH1,66.02299857139587,45.0
CH1,69.02410292625427,47.0
CH1,72.02501487731934,49.0
CH2,0.001836538314819336,2.0
CH2,2.002534866333008,4.0
CH2,4.003202676773071,6.0
CH2,6.003737211227417,8.0
CH2,8.004339218139648,10.0
CH2,10.00547170639038,12.0
CH2,12.006316661834717,14.0
CH2,14.00727367401123,16.0
CH2,16.008349180221558,18.0
CH2,18.009260892868042,20.0
CH2,20.010464429855347,22.0
CH2,22.011521100997925,24.0
CH2,24.012608289718628,26.0
CH2,26.013648509979248,28.0
CH2,28.014830112457275,30.0
CH2,30.015961170196533,32.0
CH2,32.01702404022217,34.0
CH2,34.01791262626648,36.0
CH2,36.01875448226929,38.0
CH2,38.01985216140747,40.0
CH2,40.02092242240906,42.0
CH2,42.022071838378906,44.0
CH2,44.022939920425415,46.0
CH2,46.02407455444336,48.0
CH2,48.02506065368652,50.0
CH3,0.002242565155029297,3.0
CH3,1.0028555393218994,5.0
CH3,2.003225803375244,7.0
CH3,3.0037341117858887,9.0
CH3,4.004528284072876,11.0
CH3,5.005204439163208,13.0
CH3,6.006360769271851,15.0
CH3,7.0072550773620605,17.0
CH3,8.007838487625122,19.0
CH3,9.00899624824524,21.0
CH3,10.010151624679565,23.0
CH3,11.011354923248291,25.0
CH3,12.012147903442383,27.0
CH3,13.013367652893066,29.0
CH3,14.014492511749268,31.0
CH3,15.015275716781616,33.0
CH3,16.016444444656372,35.0
CH3,17.01759624481201,37.0
CH3,18.018341302871704,39.0
CH3,19.019360065460205,41.0
CH3,20.02010154724121,43.0
CH3,21.021234035491943,45.0
CH3,22.022218227386475,47.0
CH3,23.023314237594604,49.0
